Key	Author	Title	Url	Date	Num Pages	Num Pages (est.)	Publisher	Place	Call Number	Manual Tags	Editor	Translator	Contributor
5HWASCSI	Sayous, André (1808-1870)	Principes de littérature, conseils à une mère sur l'éducation littéraire de ses enfants	http://gallica.bnf.fr/ark:/12148/bpt6k9619573z	1866	354	354	J. Hetzel	Paris	http://catalogue.bnf.fr/ark:/12148/cb31307549f	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; priorite_2; responsable_Alexandre-Critique"			
A5VCWQXG	Beaunier, André (1869-1925)	Joseph Joubert et la Révolution, 2e éd.	"http://gallica.bnf.fr/ark:/12148/bpt6k96733005?rk=42918;4"	1918	355	355	Perrin	Paris	http://catalogue.bnf.fr/ark:/12148/cb34166312m/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; priorite_2; responsable_Alexandre-Critique"			
REIXKNS9	Pontmartin, Armand de (1811-1890)	Souvenirs d'un vieux critique : 4e série	"http://gallica.bnf.fr/ark:/12148/bpt6k9737853d?rk=193134;0"	1884	355	355	C. Lévy	Paris	http://catalogue.bnf.fr/ark:/12148/cb31135572r/PUBLIC	"BNF_2014-03_COM; corpus_Critique; corpus_Sciences; etat_NUM-Done; priorite_1; responsable_Alexandre-Critique; responsable_Riguet-Lettres"			
Q8DCBDEC	Lenient, Charles (1826-1908)	La comédie en France au XIXe siècle, tome II	"http://gallica.bnf.fr/ark:/12148/bpt6k12687199?rk=42918;4"	1898	356	356	Hachette	Paris	http://catalogue.bnf.fr/ark:/12148/cb30790027g/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; responsable_Alexandre-Critique"			
HCN85HMP	Quinet, Edgar (1803-1875)	"Œuvres complètes : [11] Ahasvérus ; Les Tablettes du Juif errant"	http://gallica.bnf.fr/ark:/12148/bpt6k65574114	1876	356	356	Hachette	Paris		"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Alexandre-Critique"			
WMPRX5X8	Villemain, Abel-François (1791-1870)	Mélanges philosophiques, historiques et littéraires : III. Tableau de l'éloquence chrétienne dans le IVe siècle. Des Pères de l'Église grecque. Saint Jean Chrysostome. Synésius. Des Pères de l'Église latine. Saint Ambroise. Saint Jérôme, saint Paulin. Saint Augustin. De Plutarque et de ses ouvrages. Tibère. De la Corruption des lettres romaines sous l'Empire. De l'Empereur Julien. Essai sur la vie et les ouvrages de Pope. D'un fragment d'Hérodote traduit par M. Courrier. Discours prononcé à la réception de M. Fourier succédant à M. Lemontey, 4e éd.	http://gallica.bnf.fr/ark:/12148/bpt6k9612205x	1829	356	356	Dumont	Bruxelles	http://catalogue.bnf.fr/ark:/12148/cb31582030f/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique"			
VBDS2SH9	"Champion, Édouard (1882-1938); Marie, Aristide (1862-1938); Marsan, Jules (1867-1939)"	Bibliographie des oeuvres de Gérard de Nerval : avec un précis sur l'histoire de ses livres par Aristide Marie	http://gallica.bnf.fr/ark:/12148/bpt6k9615684v	1926	357	357	H. Champion	Paris	http://catalogue.bnf.fr/ark:/12148/cb37395212g/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; responsable_Alexandre-Critique"			
F3QI72KU	Pontmartin, Armand de (1811-1890)	Souvenirs d'un vieux critique : 8e série	"http://gallica.bnf.fr/ark:/12148/bpt6k97344444?rk=150215;2"	1887	358	358	C. Lévy	Paris	http://catalogue.bnf.fr/ark:/12148/cb31135572r/PUBLIC	"BNF_2014-03_COM; corpus_Critique; corpus_Sciences; etat_NUM-Done; priorite_1; responsable_Alexandre-Critique; responsable_Riguet-Lettres"			
JK38SPFJ	Noël, Eugène (1816-1899)	Voltaire, sa vie et ses oeuvres, sa lutte contre Rousseau	http://gallica.bnf.fr/ark:/12148/bpt6k6457971w	1878	361	361	M. Dreyfous	Paris	http://catalogue.bnf.fr/ark:/12148/cb31021816r	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Alexandre-Critique"			
J8INZHU8	Doumic, René (1860-1937)	George Sand : dix conférences sur sa vie et son oeuvre…	"http://gallica.bnf.fr/ark:/12148/bpt6k9669305t?rk=150215;2"	1909	362	362	Perrin	Paris	http://catalogue.bnf.fr/ark:/12148/cb35633340h/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; GUTENBERG; priorite_1; responsable_Alexandre-Critique"			
